# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033410360938907e+08,1.697860506068207709e+00,1.710451246643148124e+02,3.839940729830625621e+00
3.376033411600723863e+08,2.184724145876026924e+00,1.709546774370229798e+02,4.001359229329396250e+00
3.376033413585349321e+08,2.406426284711107755e+00,1.709135148389455594e+02,3.779747527501486459e+00
3.376033414557566047e+08,2.252871546830981231e+00,1.709409833035009569e+02,3.790946015705666472e+00
3.376033414806208611e+08,1.637531677742738223e+00,1.709175239800517261e+02,3.891332569806673636e+00
3.376033414848817587e+08,2.122896778021883257e+00,1.709986145836637945e+02,3.998983762222111160e+00
3.376033415222840309e+08,1.651577621587261291e+00,1.709815464679541606e+02,3.995526252112006294e+00
3.376033415524744391e+08,1.079189468973986692e+02,1.710317721639609658e+02,3.922158233191691767e+00
3.376033416946191192e+08,1.912146108707500902e+00,1.710210304729111499e+02,3.949519545710965307e+00
3.376033417115387321e+08,2.079214719335669059e+01,1.709923327180881927e+02,4.012903956998414401e+00
3.376033417730219960e+08,2.415171908963291703e+00,1.710161664169948494e+02,3.945540030277636667e+00
3.376033418384602666e+08,2.393217351470891430e+00,1.710336185438689256e+02,3.836300375796828810e+00
3.376033419155005217e+08,1.642019224700841606e+00,1.710027733242058048e+02,3.814283530383213439e+00
3.376033420550046563e+08,2.236629053059804750e+00,1.708848242954180989e+02,3.824740946013364784e+00
3.376033423590049148e+08,2.042091176722484303e+00,1.709962741997124454e+02,3.883051318305159594e+00
3.376033426129017472e+08,2.864210157325602246e+00,1.709342731149087911e+02,3.989117692372436963e+00
3.376033427913878560e+08,2.230841268085234752e+00,1.709167535214116072e+02,3.835777527264208953e+00
3.376033427980162501e+08,1.722136853970545944e+00,1.709617063360859959e+02,3.826011754139550636e+00
3.376033428007677197e+08,1.942181368725014678e+00,1.709694152218766021e+02,3.987225587104747948e+00
3.376033428280167580e+08,1.751866015301372981e+00,1.710082047804799572e+02,3.814293450160483712e+00
3.376033428827739954e+08,2.009704853718683015e+00,1.710003815454025187e+02,3.975059506367330631e+00
3.376033429947674870e+08,3.893062157458436534e+00,1.709287462029709559e+02,3.851082978020467174e+00
3.376033430186504126e+08,1.709939175323820004e+00,1.710122406154980865e+02,3.812603914656340187e+00
3.376033431068860888e+08,2.670750238063926307e+00,1.708929619345001072e+02,3.945908536771521646e+00
3.376033438603138328e+08,1.821292987558125853e+00,1.708672918743840796e+02,3.845055035500787088e+00
3.376033438719203472e+08,1.315319619890652802e+02,1.709266689103529302e+02,3.870461104409776087e+00
3.376033440148808956e+08,1.910619264151484087e+00,1.709412034586519837e+02,3.956194026874181979e+00
3.376033444221842885e+08,1.732681330517072515e+00,1.708888665466122063e+02,3.984671869164814417e+00
3.376033445436782837e+08,2.078626174339953447e+00,1.708241686221218743e+02,3.946984074030765122e+00
3.376033447900641561e+08,2.313311495659426953e+00,1.710481851974024039e+02,3.889807277925597440e+00
3.376033448150938749e+08,2.273971354818850710e+00,1.709752285954320143e+02,3.883813425380265638e+00
3.376033448645709753e+08,1.811045621657906946e+00,1.710305752286488996e+02,3.909338232025642679e+00
3.376033449086511135e+08,3.152778457506240883e+01,1.709386335423231174e+02,3.987372031432215191e+00
3.376033451256672740e+08,2.139920021555405505e+00,1.709995946168645844e+02,3.871880099613995263e+00
3.376033452974570990e+08,2.381174568068672226e+00,1.708748028485216537e+02,3.874904257294274235e+00
3.376033455356979370e+08,2.921329177853881465e+00,1.708955935762686522e+02,3.933754728943513079e+00
3.376033457455962896e+08,1.626420674864010207e+00,1.710233624113564019e+02,3.856145895998890349e+00
3.376033459236530662e+08,1.779252030090808345e+00,1.710078801188880959e+02,3.921116907541624119e+00
3.376033459583899975e+08,6.786006976945730074e+00,1.709990117953146296e+02,3.861380416851824204e+00
3.376033460909277797e+08,7.979581042825331849e+01,1.708866204348227598e+02,3.886935330022367019e+00
3.376033461411399245e+08,2.033601694579215025e+00,1.709457311081467310e+02,3.841304608453230518e+00
3.376033462554865479e+08,1.736572912904620791e+00,1.709767115288512684e+02,3.926456244131802720e+00
3.376033463357247114e+08,2.033360860708508522e+00,1.709661779435292317e+02,3.888324403717803079e+00
3.376033465387229919e+08,1.064826215766910877e+01,1.709644165214345719e+02,3.897401675792910414e+00
