# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033411537324786e+08,2.335417250635976938e+00,1.708295268070746147e+02,3.928257309060216418e+00
3.376033416473522186e+08,1.722871827254065291e+00,1.709937679836160953e+02,3.857296152901026343e+00
3.376033419367611408e+08,2.327117776543302430e+00,1.709558001343264664e+02,3.943850595471498632e+00
3.376033419857918024e+08,1.916817686134143717e+00,1.709328579533056995e+02,3.969061468646247093e+00
3.376033423613776565e+08,5.684489732628459535e+01,1.709740409775290857e+02,4.031383330574103141e+00
3.376033425600767732e+08,1.674098726148519178e+00,1.709409610885440713e+02,3.947043150512568488e+00
3.376033426379683614e+08,2.195473780694056298e+00,1.709060613493238066e+02,3.896948556000806807e+00
3.376033427330670357e+08,1.854183111616258817e+00,1.709180601523354994e+02,3.761433593904222938e+00
3.376033429025960565e+08,2.273678283927850874e+00,1.708337017576175185e+02,3.892451130933990644e+00
3.376033429751280546e+08,7.235043934891165485e+00,1.709495410331747678e+02,4.012541737633952721e+00
3.376033429863945842e+08,1.963477447982284740e+00,1.709597988982426386e+02,4.009418138765208361e+00
3.376033431037207842e+08,2.773609645310702199e+00,1.709247739914816577e+02,3.772169046966321382e+00
3.376033431775742173e+08,2.509227086372050053e+00,1.709760111262548037e+02,3.844674372391324368e+00
3.376033433992565274e+08,1.736044263615735161e+00,1.708809619813775953e+02,3.875279326992664419e+00
3.376033434596368074e+08,1.809223657876287028e+00,1.709242921147076970e+02,3.893335312717426167e+00
3.376033435086149573e+08,2.080674606473211785e+00,1.709101497793000988e+02,3.916776108391748501e+00
3.376033437134213448e+08,2.154148261404688736e+00,1.709629665044266744e+02,3.788216288565111611e+00
3.376033442708172798e+08,2.618184214026562096e+00,1.709603736679291615e+02,3.935134158252810987e+00
3.376033442946844101e+08,2.060322399804627391e+00,1.709639027503080513e+02,3.962539671993575041e+00
3.376033444171273112e+08,2.791137607469992066e+00,1.709768004347346846e+02,4.006981662152793611e+00
3.376033445511278510e+08,1.776026658018089899e+00,1.708596280131255298e+02,3.927977292888462646e+00
3.376033445906559229e+08,1.645835925499356165e+02,1.709146428741127295e+02,3.894465502799226542e+00
3.376033449957417250e+08,1.899850032852427706e+00,1.709652413517950436e+02,4.015804007249919039e+00
3.376033450899618268e+08,1.742746163721455410e+00,1.708523203767103382e+02,3.881663782770925941e+00
3.376033452001151443e+08,2.033947595861490321e+00,1.708590005335436786e+02,3.850363350493129388e+00
3.376033452272873521e+08,1.658926020147249769e+00,1.709946870974467288e+02,3.845511638778608798e+00
