# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033410206869245e+08,2.342253788054832420e+00,1.709262338602396483e+02,3.818068475262453187e+00
3.376033412211808562e+08,2.328425603734813443e+00,1.709470708200584852e+02,3.834707756889693453e+00
3.376033413242664337e+08,2.335543995498271297e+00,1.709372035444402513e+02,3.982706263923788015e+00
3.376033416212502718e+08,2.457139642874878405e+00,1.709306015564486927e+02,3.930995977004739128e+00
3.376033418017280102e+08,1.658947934028493165e+00,1.710253076942970836e+02,3.847427823884110420e+00
3.376033418153835535e+08,2.230643667519542017e+00,1.709171075047913462e+02,3.757085361573469839e+00
3.376033418227760792e+08,2.404419899630896307e+00,1.708683783420623001e+02,3.832790557550321608e+00
3.376033419690640569e+08,8.274823048777389545e+01,1.709860955946151648e+02,4.015002873467942379e+00
3.376033419905924201e+08,1.777601492778600134e+00,1.709299942161938759e+02,3.927766918752862768e+00
3.376033420647972822e+08,2.125625767054002857e+00,1.708911354267521006e+02,3.807692859828161414e+00
3.376033420946648717e+08,2.577814479314438856e+00,1.710266062323621270e+02,3.865669804373423002e+00
3.376033422222905755e+08,2.985381270925325570e+00,1.709326188627276792e+02,4.003756050817735002e+00
3.376033422228972912e+08,2.286227457239523808e+00,1.708613900027690420e+02,3.864801344700283359e+00
3.376033425405218601e+08,1.764900401518959328e+00,1.709243060883301553e+02,3.928776852534115793e+00
3.376033426666344404e+08,1.998215036752258644e+00,1.709000250542308947e+02,3.981039235808644161e+00
3.376033426872659922e+08,2.372720958049400863e+00,1.708729929986764375e+02,3.900184085352254026e+00
3.376033427607016563e+08,2.005817292429256327e+00,1.709924495967467806e+02,3.912237977159897184e+00
3.376033428731060624e+08,2.390496304569679431e+00,1.709171697138635864e+02,3.857080328326161212e+00
3.376033429022387266e+08,2.687145336104061588e+00,1.708609538446855538e+02,3.928573212556603078e+00
3.376033429856275916e+08,1.873239688041215434e+00,1.709633133022576885e+02,3.962890082074580711e+00
3.376033430861465931e+08,2.054499915755264361e+00,1.709554917817877140e+02,4.023396114968013748e+00
3.376033432762652636e+08,1.829548206844349378e+00,1.709190623803676203e+02,3.864886360027523615e+00
3.376033434510142803e+08,3.020809038789668222e+01,1.709381677184738919e+02,3.881461185626828403e+00
3.376033435422484279e+08,2.138508934431421871e+00,1.709392405178651018e+02,3.972951809920954869e+00
3.376033435737996697e+08,1.801344188274108138e+00,1.709838861856027563e+02,3.945454883292056625e+00
3.376033435971346498e+08,2.266330307614723871e+00,1.708848660069232324e+02,3.961040863080456109e+00
3.376033436200227737e+08,2.414003414574035666e+00,1.709858536055968159e+02,3.923479263108537118e+00
3.376033438043391109e+08,1.811097668717144948e+00,1.709069179146017063e+02,3.945745423071858493e+00
3.376033441876291037e+08,1.622496461560565706e+00,1.708920341630188489e+02,3.949557236248063319e+00
3.376033441935542822e+08,1.931535915875100429e+00,1.708470665566270839e+02,3.945022851051225743e+00
3.376033442237909436e+08,1.728297607633987099e+00,1.708556272979742232e+02,3.910685599950190383e+00
3.376033442813901305e+08,3.139525005508059508e+01,1.708488013591738763e+02,3.916326677688694691e+00
3.376033442885853648e+08,2.136517065921207159e+00,1.709314233596574297e+02,3.784996889616300653e+00
3.376033444119799137e+08,2.097881962253598243e+00,1.708139624875069842e+02,3.926496445649811928e+00
3.376033445141792893e+08,2.260710051658355368e+00,1.708282206285331313e+02,3.934028039570236057e+00
3.376033448918517232e+08,1.642721452862997200e+00,1.708156981942753134e+02,3.931352697984415112e+00
3.376033449453554153e+08,2.185120889124858579e+00,1.710146065613628537e+02,3.932814054911002888e+00
3.376033451617559195e+08,2.014768112254415655e+00,1.710010237522629097e+02,3.957390228294515921e+00
3.376033452714963555e+08,2.020563500539588997e+00,1.709320213103074479e+02,3.943404893122823385e+00
3.376033456147012115e+08,2.097951454213299538e+00,1.708412641135983279e+02,3.934537774704582880e+00
3.376033457437345386e+08,2.085044545661671300e+00,1.709734592746026465e+02,3.967130737355260006e+00
3.376033458990011215e+08,2.204680946692825660e+00,1.709445336158005375e+02,3.854341123108667944e+00
3.376033460511820912e+08,1.057532687292700615e+02,1.709437979386929669e+02,3.978335035355142324e+00
3.376033461139899492e+08,4.722672026228757147e+01,1.710310175472912704e+02,3.931297617254960741e+00
3.376033461484763026e+08,2.762153767359501799e+00,1.709548051584867210e+02,3.914308358607489602e+00
3.376033463416212797e+08,1.969340635459234878e+00,1.709538765039818315e+02,3.989293806843669632e+00
3.376033463598979115e+08,1.224334179512705987e+02,1.709674613502434681e+02,3.795793938419103064e+00
3.376033464142920375e+08,1.729938900784306677e+00,1.709593428095469676e+02,3.963001952200422728e+00
3.376033467962378860e+08,2.229629434379394759e+00,1.710140753404682243e+02,3.924121980792074638e+00
3.376033469591740966e+08,2.320454778012415176e+00,1.708477479192820567e+02,3.895826566806854796e+00
3.376033469937635064e+08,2.188890282556045719e+01,1.709227133631758591e+02,3.778272645345222447e+00
3.376033472539407015e+08,2.279899693829078089e+00,1.709474909125951001e+02,3.928190183503173394e+00
3.376033473272851110e+08,2.062174525922320711e+01,1.709394007103718707e+02,3.777669956781906535e+00
3.376033473476495743e+08,1.727513279569480753e+00,1.709829870983377589e+02,3.977039430574147882e+00
3.376033480679062009e+08,3.029767796228664434e+00,1.709916792052665357e+02,3.808302924943018919e+00
3.376033481483728290e+08,2.051387543096153010e+00,1.709517883851631552e+02,3.833552875558061235e+00
3.376033483194747567e+08,1.915582459903218737e+00,1.710046974986734938e+02,3.820651505360030509e+00
3.376033484423485994e+08,2.250317802899249209e+00,1.708753141106281248e+02,3.912676911522261936e+00
3.376033485096037984e+08,1.871525424626354628e+00,1.709257249875161619e+02,3.828945305224043416e+00
3.376033485216542482e+08,1.766483662909927199e+00,1.709065519194463150e+02,3.854022677994443757e+00
3.376033486216244102e+08,4.604746072099953835e+01,1.708494967316091788e+02,3.886145976195751306e+00
3.376033486741458774e+08,1.706675751364581828e+00,1.709418909886864810e+02,3.922293843289715642e+00
3.376033486962264180e+08,1.956844484125646044e+00,1.710665403843441652e+02,3.870661929401848056e+00
3.376033487095588446e+08,8.458398147731139716e+01,1.710123409367479326e+02,3.901481394175469575e+00
3.376033487232447267e+08,1.961906811538640660e+00,1.709408154007504095e+02,3.848929814174853803e+00
3.376033487356879115e+08,1.261841325928283339e+02,1.709475374275530157e+02,3.898421628521951288e+00
3.376033488332260251e+08,3.089507936775361951e+00,1.708761432294978988e+02,3.910156394401806956e+00
3.376033488843069673e+08,1.927981175857958807e+00,1.709535085769279306e+02,3.945950399730816738e+00
3.376033490286402106e+08,1.833936181247357577e+00,1.709670829833797541e+02,3.914078129442846166e+00
3.376033490838612914e+08,3.266326307747684510e+00,1.710002480093787085e+02,3.906496519326450922e+00
3.376033491015800238e+08,1.844987720670752784e+00,1.709212961773200448e+02,3.929153888209459211e+00
3.376033491638826728e+08,2.205834926395688456e+00,1.709188948927561569e+02,3.851488436830913908e+00
3.376033493417763710e+08,2.141562575169793980e+00,1.708162341879879307e+02,3.930272881681309727e+00
3.376033493728772998e+08,2.978663791074191991e+00,1.708994399556981136e+02,3.985345686443745983e+00
3.376033495004504323e+08,8.248839349447619540e+00,1.710417965632147457e+02,3.834309375239705275e+00
3.376033495742090940e+08,2.261935620857947526e+00,1.709569172755972772e+02,3.899930195883289041e+00
3.376033498057299256e+08,1.688837911118287849e+00,1.709237512749949701e+02,3.852465415863419729e+00
3.376033498139281273e+08,1.926485646697281950e+00,1.709877060186983613e+02,4.014738510761116430e+00
3.376033503094549179e+08,2.385709957460900199e+00,1.709975494773855189e+02,3.832345313027931688e+00
3.376033503350285292e+08,2.368071525983284076e+00,1.708785508966732323e+02,3.814789327497235760e+00
3.376033504815729260e+08,1.994198243598128473e+00,1.708828321482379238e+02,3.905584654271462064e+00
3.376033506925486326e+08,1.844764836400488051e+00,1.708585684152716624e+02,3.954767303186570437e+00
3.376033507675245404e+08,2.266519566073281755e+00,1.708381305137451420e+02,3.884157128753824129e+00
3.376033507918748260e+08,2.180424516606397578e+00,1.709943628608346557e+02,3.959268222294463513e+00
3.376033509803870320e+08,2.354487327151763676e+00,1.709677462297304942e+02,3.811478484067249983e+00
3.376033509933877587e+08,1.834023105008462329e+00,1.708610098067278500e+02,3.838307688336422885e+00
3.376033511482729912e+08,2.398475668078168699e+00,1.709429647913765393e+02,3.984962761959882638e+00
3.376033513045769930e+08,2.267764384038160053e+00,1.708999066642915636e+02,3.795518954397859801e+00
3.376033515418933034e+08,1.959670340907918806e+00,1.709702161382157897e+02,4.023648360447015904e+00
3.376033516742805839e+08,1.906699272944254897e+00,1.709347767624923620e+02,3.887286149690420078e+00
3.376033517100810409e+08,2.239650281246598151e+00,1.709330475350334666e+02,3.778392537678550767e+00
3.376033517302927971e+08,2.253993929074503022e+00,1.709675436439445662e+02,3.888128233274708467e+00
3.376033517736913562e+08,2.304531890899616187e+00,1.709194013307072169e+02,3.875166558187275179e+00
3.376033518095837235e+08,1.817289559616054317e+00,1.708669363322782431e+02,3.893516588092453379e+00
3.376033518344788551e+08,2.258503348476355033e+00,1.708931253583269267e+02,3.811361490348615266e+00
3.376033518758351803e+08,6.041009512926213354e+00,1.709595933768293037e+02,3.967818745132822400e+00
3.376033518971468806e+08,2.018041273269854496e+00,1.709252761294744403e+02,3.917333494417321926e+00
3.376033519095083475e+08,2.183488985838102359e+00,1.709046871651207482e+02,3.827041002826506055e+00
3.376033519678041339e+08,2.058332443957821667e+00,1.708981312950489837e+02,3.777721329937623107e+00
3.376033519872428179e+08,2.463749258270925058e+00,1.710151973732266697e+02,3.869460753522154572e+00
3.376033520211967826e+08,1.838611681931242803e+00,1.709105277616488650e+02,3.989949466704947323e+00
