# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033410085140467e+08,5.969519322042484255e+00,1.709804522450577053e+02,3.889338201928295824e+00
3.376033410959549546e+08,5.854227721896839043e+00,1.709402664137708996e+02,3.990762245072139613e+00
3.376033414681786299e+08,1.637592567529794207e+00,1.709088162188924969e+02,3.905574818094748490e+00
3.376033416298305988e+08,1.626338076475509098e+00,1.708489785724674164e+02,3.924134498276204308e+00
3.376033416604441404e+08,6.040504303887136217e+00,1.709747647576280940e+02,3.952728575296520219e+00
3.376033417020366788e+08,2.287777307125160586e+00,1.710534540060452002e+02,3.845312934619474099e+00
3.376033417215083838e+08,1.758961331671711203e+00,1.709679780009570038e+02,3.949408344907793911e+00
3.376033417787687182e+08,1.888121048341483643e+00,1.709948040813306989e+02,3.969888408354369957e+00
3.376033419007600546e+08,2.403660322252539672e+00,1.708656510776877440e+02,3.904658796724219894e+00
3.376033419986516833e+08,6.111932558798023329e+00,1.709167268685803265e+02,3.890081015747423709e+00
3.376033420413844585e+08,2.181265720398024133e+00,1.708819057826295591e+02,3.778513357343882717e+00
3.376033421256743670e+08,1.991861837860263051e+00,1.709337142343379128e+02,3.994472613719330045e+00
3.376033421275345087e+08,5.972456278775045924e+00,1.709650030801911669e+02,3.922267605325318041e+00
3.376033421689324975e+08,1.908749849249016028e+00,1.709718906698435035e+02,3.792164608831849471e+00
3.376033421724854112e+08,1.891809463764774435e+00,1.709298002417238536e+02,3.985512617843785410e+00
3.376033424239270091e+08,1.937311705525563754e+00,1.708866209860491665e+02,3.925876811849271064e+00
3.376033424467481971e+08,5.816243769237728678e+00,1.709171498286760595e+02,3.928708417144347376e+00
3.376033426957688332e+08,7.043497794030808734e+01,1.708981087322256087e+02,3.790280086661016679e+00
3.376033427935990691e+08,2.405186967339079995e+00,1.709505433808587895e+02,4.002089260749806421e+00
3.376033429328901768e+08,6.071355289345321538e+00,1.708676460593972024e+02,3.816376706733888735e+00
3.376033429943923354e+08,2.183873084445996149e+00,1.708888094685558769e+02,3.868186839354923467e+00
3.376033430711962581e+08,1.937138976891583209e+00,1.709681454613840970e+02,3.812622985238617535e+00
3.376033431006650925e+08,1.389619106991502520e+02,1.709853801279556933e+02,3.885354535813242638e+00
3.376033432064992189e+08,3.235700774665507762e+00,1.708602461358419760e+02,3.832209060002793155e+00
3.376033432095372081e+08,2.151347948415919920e+00,1.708655110611509826e+02,3.947009813198517403e+00
3.376033433995081782e+08,2.037769005032365577e+00,1.709132384346034712e+02,3.924574678816846962e+00
3.376033436033064723e+08,5.561130775055564612e+01,1.708475920710678508e+02,3.888647424715341305e+00
3.376033436056310534e+08,6.671173198194598974e+00,1.709234144659784818e+02,4.000190122382795366e+00
3.376033439159516096e+08,2.372356391371533313e+00,1.709372743366534451e+02,3.852460624901846042e+00
3.376033439442619085e+08,2.064608790268270599e+00,1.709552079105178848e+02,3.947668074807659355e+00
3.376033440054994822e+08,2.382575178874912325e+00,1.709220911189651133e+02,3.891699302298290863e+00
3.376033440243835449e+08,2.158595344041495778e+00,1.709942276979915619e+02,4.005453676176458977e+00
3.376033441021387577e+08,1.746492267967833190e+00,1.709052040175211289e+02,3.772644680590666599e+00
3.376033442468077540e+08,1.684600568179752678e+00,1.708969265572639245e+02,3.918033561387886277e+00
3.376033443305218220e+08,1.753574476592907772e+00,1.709216010870566720e+02,4.000886919824626631e+00
3.376033444836607575e+08,1.940362245336717084e+00,1.709852011125105093e+02,3.831053839396866056e+00
3.376033446042831540e+08,5.915871307188628414e+00,1.709643480880330628e+02,3.940914971802814470e+00
3.376033447021921277e+08,1.625230435585992561e+00,1.708688088474820859e+02,3.868479090164649303e+00
3.376033449599963427e+08,6.094035327893176479e+00,1.710003671665294291e+02,3.973942227627752732e+00
3.376033450134564638e+08,3.085879534443815686e+00,1.709020247469972276e+02,3.926970742685159443e+00
3.376033450265335441e+08,5.899648784223989750e+00,1.709134338823824066e+02,3.799821068662950108e+00
3.376033450636692047e+08,2.397087663462255769e+00,1.710249760761266486e+02,3.953620905122737117e+00
3.376033451433963776e+08,2.051960415686303829e+00,1.710488974209334003e+02,3.857318570242332711e+00
3.376033451638323069e+08,5.882923399566027278e+00,1.709780060137765076e+02,3.864478130210474927e+00
3.376033452057892084e+08,1.838933575312528212e+00,1.709959767459351951e+02,3.965113134204474310e+00
3.376033452375016212e+08,2.343489630337328045e+00,1.709608886665908756e+02,3.901455414321240767e+00
3.376033453702489734e+08,2.264605612621448660e+00,1.708953915519173279e+02,3.853289322891335633e+00
3.376033454222377539e+08,3.493522535967975795e+00,1.708640120091393442e+02,3.819705859081009791e+00
3.376033457430887222e+08,2.313740624192596851e+00,1.709468340017190542e+02,3.936056300111962170e+00
3.376033457484658957e+08,2.000459392811256620e+00,1.708989751212145620e+02,3.886088810562512208e+00
3.376033458430080414e+08,2.273675374144640049e+00,1.708161249143034297e+02,3.890204933731484793e+00
3.376033458582183719e+08,2.155233945492391001e+00,1.709745303690375522e+02,3.851850757280802284e+00
3.376033460516983271e+08,2.106202355332074116e+00,1.709950900203666606e+02,3.891989574906166371e+00
3.376033461168448925e+08,2.380968025187103265e+00,1.708901948796315367e+02,3.859752293907745102e+00
3.376033461559666991e+08,2.169679903257957232e+00,1.709929915457620666e+02,3.835223312413441388e+00
3.376033461563671231e+08,4.528450055707747168e+00,1.709045076137761896e+02,3.816542281558378935e+00
3.376033461607403755e+08,2.395072654871427620e+00,1.708418941446629447e+02,3.886025003885154927e+00
3.376033461646920443e+08,1.734364120875900861e+00,1.710171237314367545e+02,3.889758576028246928e+00
3.376033462537035942e+08,6.197095001043299689e+00,1.709399460763418972e+02,3.807139560539493761e+00
3.376033464829571843e+08,5.895811386943051957e+00,1.709653181308913759e+02,3.811852756178620183e+00
3.376033465772759318e+08,2.187137242804114479e+00,1.709194226772855814e+02,3.915123837943792928e+00
3.376033465924850702e+08,5.797460120796374738e+00,1.709855594442158235e+02,3.960480499696759082e+00
3.376033466781433821e+08,6.248230578446638539e+00,1.708934418747231234e+02,3.799308696555288023e+00
3.376033469144182801e+08,1.879860753306262122e+00,1.709046621934305961e+02,3.825324209132590525e+00
3.376033472058789730e+08,1.696194978481995408e+00,1.709031687821034495e+02,3.766602098254561160e+00
3.376033472066175342e+08,5.793939786081838683e+00,1.709430432491545275e+02,3.983608495449027842e+00
3.376033472389445901e+08,2.217616649773849868e+00,1.708701021285382069e+02,3.895589737869197933e+00
3.376033473461667299e+08,2.277245124720350677e+00,1.710125676728656856e+02,3.846595963725281564e+00
3.376033475644735098e+08,2.180221689822657183e+00,1.709215470309668490e+02,3.971137465788958654e+00
3.376033475645946264e+08,5.770033136207327829e+00,1.709717264949531170e+02,3.918228097430865642e+00
3.376033476506319642e+08,6.232537464034846764e+00,1.708988179142818353e+02,3.819113055336597284e+00
3.376033476587909460e+08,1.715788363597380739e+00,1.709424051115398413e+02,3.948562914772433263e+00
3.376033477043989897e+08,1.966079928209230498e+00,1.710554396628490110e+02,3.892619269425473760e+00
3.376033477373378277e+08,2.239291849285616642e+00,1.709038363153710804e+02,3.783317964333840600e+00
3.376033477784030437e+08,2.103859856319975741e+00,1.708427352960760288e+02,3.935941045242064451e+00
3.376033477867584229e+08,1.866080344730227658e+00,1.708569696384764995e+02,3.881941413643455352e+00
3.376033479600554705e+08,2.693271907989606362e+00,1.708809653102568973e+02,3.899218283553234965e+00
3.376033481020010114e+08,2.077341943270607061e+00,1.709223577966820358e+02,3.905944809720755195e+00
3.376033482194393277e+08,2.375244458068713982e+00,1.709058776696993789e+02,3.834465891429097884e+00
3.376033484218275547e+08,1.695244661357394378e+00,1.710324504379720736e+02,3.924909417502107534e+00
3.376033484245800376e+08,5.930612984237135343e+00,1.709025184846812806e+02,3.915644255381991901e+00
3.376033484505872130e+08,1.854550800711339154e+00,1.709728807233847476e+02,3.874723770789875843e+00
3.376033484554188251e+08,1.796930811028393471e+00,1.709647748042910109e+02,3.870263743651876975e+00
3.376033486738656163e+08,6.086512591480569334e+00,1.709794636305195183e+02,3.870713974952759706e+00
3.376033488527522683e+08,2.359114044205797178e+00,1.709054560594631198e+02,3.915154729985085513e+00
3.376033488686982989e+08,1.998497446199191785e+00,1.709532518453693797e+02,3.963914239220735602e+00
3.376033488978534341e+08,6.068673116143559199e+00,1.710038010615283781e+02,3.859408025609561754e+00
3.376033489792902470e+08,1.690932832538591057e+00,1.709986380411502296e+02,3.942090286613615824e+00
3.376033491168231368e+08,1.603759779398423735e+00,1.710643083892715310e+02,3.882627933596735303e+00
3.376033491778477430e+08,6.060963896273874774e+00,1.709876163173509838e+02,3.820153619868102535e+00
