# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033410970565081e+08,1.971730960093541096e+00,1.709461669724549324e+02,3.911800157959728352e+00
3.376033412129634023e+08,1.620341780060364556e+00,1.709992209673741286e+02,3.834659095581518073e+00
3.376033419325740337e+08,1.751299976691220506e+00,1.709325695808642820e+02,3.812715601057403703e+00
3.376033419866436124e+08,1.888439668561300078e+00,1.710051693577007086e+02,3.867156386468439511e+00
3.376033419883552790e+08,2.505760527799726134e+00,1.709009305682888566e+02,3.909515664007782831e+00
3.376033420364230871e+08,2.145155200397543815e+00,1.708483741876512170e+02,3.847727743525949151e+00
3.376033420965396166e+08,1.713457267224475222e+00,1.710314307207276556e+02,3.919159629218319285e+00
3.376033421031007767e+08,2.294297448132442518e+00,1.709385787784785578e+02,3.881727735436410587e+00
3.376033421062757969e+08,1.918371469564430054e+00,1.708620517571922335e+02,3.838938894186587625e+00
3.376033422100424170e+08,1.784762009663140248e+00,1.708930351003385510e+02,3.907255927067111223e+00
3.376033423502417803e+08,2.339898490988753466e+00,1.708828775544174334e+02,3.897752358964626129e+00
3.376033424186596870e+08,2.353443411284557474e+00,1.708638219212840283e+02,3.971702166658492850e+00
3.376033424360344410e+08,2.237393453447554137e+00,1.708784590946930280e+02,3.909479202577684553e+00
3.376033425659498572e+08,2.203021357532469082e+00,1.709259089000871938e+02,3.828386847524289038e+00
3.376033426410688162e+08,1.909053256493462580e+00,1.708452898554588444e+02,3.895464985181336548e+00
3.376033426664137840e+08,2.993519879873442591e+00,1.708380032993371458e+02,3.894680050429411455e+00
3.376033428628260493e+08,2.312558952192251382e+00,1.708458722357533759e+02,3.921044059710078855e+00
3.376033431362256408e+08,2.275170196629296981e+00,1.708234794135848347e+02,3.857836511669078039e+00
3.376033431444157362e+08,2.228839360181963603e+00,1.709140292561347394e+02,3.988177633521288623e+00
3.376033432943894267e+08,2.035510535248420627e+00,1.709158808317765761e+02,3.973393700586311805e+00
3.376033435117626190e+08,1.885700769351275508e+00,1.710036955483389818e+02,3.899885046940361644e+00
3.376033436020876765e+08,1.983591063420409473e+00,1.710384037458545379e+02,3.880894879359081173e+00
3.376033436251890659e+08,3.136965751470200736e+00,1.709486286239433923e+02,3.973845226402496156e+00
3.376033436586333513e+08,2.839008677108339818e+00,1.709969836586609802e+02,3.954504865043806383e+00
3.376033437341367006e+08,1.971675937366076603e+00,1.709823646348601471e+02,3.933533850531909071e+00
3.376033437397431135e+08,1.712506181413713247e+00,1.708415354220703364e+02,3.965282379277695224e+00
3.376033437873619199e+08,2.440770676134947692e+00,1.710401615064818657e+02,3.837640312026194156e+00
3.376033439066138268e+08,2.201015711794057861e+00,1.709260158592356049e+02,3.998558826387706322e+00
3.376033439260085821e+08,1.496576736274546988e+02,1.709223844286275948e+02,3.818133323764845155e+00
3.376033440673255920e+08,1.990669086848607883e+00,1.708737469035091863e+02,3.837696444094012893e+00
3.376033441044459343e+08,1.845567857602828710e+00,1.708819816874471087e+02,3.899771157808998190e+00
3.376033441193171740e+08,6.640700520015025532e+00,1.708223370161690298e+02,3.876080969350466532e+00
3.376033441257915497e+08,2.055051161283022676e+00,1.710026798375929218e+02,3.840829428176170790e+00
3.376033442900965810e+08,1.052509038086159521e+01,1.709943244146170116e+02,3.811853274974891459e+00
3.376033444892878532e+08,2.051560839595902408e+00,1.708617212469215758e+02,3.946227879752632894e+00
3.376033445030090809e+08,2.165094289585214327e+00,1.708522705643345603e+02,3.914471424786480469e+00
3.376033445043651462e+08,2.351453245951304893e+00,1.708959564211619409e+02,3.790302718214179301e+00
3.376033445098950863e+08,2.238119523834540381e+00,1.709181484828186228e+02,3.805765959295193568e+00
3.376033445549587011e+08,2.173129440122689715e+00,1.709300988799205072e+02,3.806217932372325752e+00
3.376033446403770447e+08,1.885866656075432468e+00,1.709293403656722035e+02,4.012940117380753513e+00
3.376033448069126606e+08,2.846156935095155660e+00,1.709014415585477309e+02,3.986013199247607552e+00
3.376033448091243505e+08,1.423879121518656632e+02,1.709722042163633091e+02,4.020104055813184196e+00
3.376033451515166759e+08,2.157982927513843130e+00,1.708730192230945590e+02,3.918603120181810784e+00
3.376033452028800845e+08,2.150219981475517184e+00,1.710179116744959060e+02,3.830195262966031411e+00
3.376033455998653173e+08,2.338131083661052045e+00,1.708980286493080030e+02,3.928108226566390027e+00
3.376033456225568056e+08,1.776503071981268445e+00,1.709389867893185908e+02,4.002865938033814075e+00
3.376033457088797092e+08,2.232277037770596717e+00,1.709866385787199476e+02,3.855862782871447791e+00
3.376033457460894585e+08,1.856940499659410548e+00,1.708076073678451792e+02,3.903255543284214646e+00
3.376033458598179221e+08,8.527458575071446489e+01,1.709032007723289155e+02,3.770584758675061376e+00
3.376033461457265615e+08,2.226398174974973276e+00,1.709236955788335877e+02,3.778907392511879237e+00
3.376033462717376351e+08,8.794130327246855927e+01,1.709712524313360973e+02,4.000935216609140532e+00
3.376033463658329844e+08,2.363083966466637875e+00,1.709223049998663839e+02,3.866609771407428564e+00
3.376033464360435605e+08,1.750209941490395593e+01,1.709149772999590198e+02,3.870271677735079408e+00
3.376033465053238273e+08,1.639476449439249084e+00,1.709882097118747026e+02,3.808423608921339021e+00
3.376033465327177048e+08,1.735531174036841762e+00,1.708297807527177099e+02,3.899289322898050081e+00
3.376033466974889040e+08,2.354153321351556194e+00,1.708602100597484821e+02,3.927448798737755542e+00
3.376033467208378315e+08,2.167681709320750549e+00,1.710315091605338864e+02,3.900659652580218406e+00
3.376033467388483286e+08,2.008144340169111253e+00,1.710075858670468278e+02,3.963194164809125120e+00
3.376033467430468798e+08,1.994754969905279784e+00,1.708987329018896730e+02,3.891968749515922088e+00
3.376033470173538327e+08,7.953164006216782767e+00,1.709236179593412146e+02,3.918272008804640993e+00
3.376033470726477504e+08,2.152166115560777637e+00,1.709681941114863548e+02,3.997277587466155246e+00
3.376033471092076898e+08,1.849305967390871608e+00,1.709077461253831984e+02,3.876153909907935180e+00
3.376033472092645764e+08,1.698337315663448921e+00,1.709427854630778540e+02,3.804185191483619111e+00
3.376033472989231348e+08,3.208640969503005813e+00,1.709719360147640828e+02,3.979077187600593479e+00
3.376033474341625571e+08,2.107459141711534034e+00,1.708539432379555194e+02,3.815347057072413062e+00
3.376033474639901519e+08,2.319354638275187064e+00,1.709912145308283300e+02,3.826611600638441857e+00
