# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033412136813998e+08,2.769951931907172593e+00,1.709862487429963096e+02,4.001320292923239208e+00
3.376033412197145224e+08,2.096140204602757073e+00,1.709860561990170424e+02,4.002761149842966049e+00
3.376033412755916715e+08,6.114820916805383533e+00,1.709225388616656289e+02,3.922657958323815475e+00
3.376033413095479012e+08,1.639497086237430512e+00,1.708609562067691172e+02,3.942090756500795656e+00
3.376033413657072783e+08,6.213412978395873587e+00,1.709299458895308419e+02,3.926953049755548264e+00
3.376033413956478238e+08,2.285521665908612832e+00,1.709340117850457261e+02,3.880914682687371720e+00
3.376033415630695224e+08,2.036922772481227106e+00,1.709462625699855494e+02,3.854965935134388122e+00
3.376033416557952762e+08,6.133104953673146120e+00,1.709029158923087834e+02,3.862927114401743633e+00
3.376033416939675808e+08,2.128982372860551031e+00,1.709267516028797331e+02,3.936236335777604900e+00
3.376033418656550050e+08,1.634178359122034241e+00,1.708099514638738867e+02,3.947068895558012436e+00
3.376033418932564855e+08,5.992260235024034820e+00,1.709390541865332978e+02,3.824461897887149409e+00
3.376033421500059962e+08,6.020093979566484954e+00,1.709918655187044010e+02,3.852773807125283945e+00
3.376033422698159814e+08,1.755893909912491724e+00,1.709660095637375434e+02,3.963441249317185999e+00
3.376033422751269341e+08,1.982020769754143430e+00,1.708709760876383825e+02,3.942300046350475817e+00
3.376033423835635185e+08,6.010052566625528669e+00,1.709134257925000213e+02,3.845758880705917093e+00
3.376033424165548086e+08,2.930034977801921769e+01,1.708212173270334517e+02,3.913303173502195698e+00
3.376033424201103449e+08,2.238510509710812890e+00,1.709371450342910919e+02,4.023119795518389274e+00
3.376033424541782737e+08,5.884384669299800308e+00,1.708993681350227973e+02,3.887898418455222327e+00
3.376033425197840333e+08,2.755805644224126993e+00,1.708716364058561794e+02,3.917102236597044040e+00
3.376033425859905481e+08,1.568591162434197770e+02,1.709555433113384595e+02,3.829091384647468566e+00
3.376033425961552262e+08,2.002449980253552475e+00,1.708620867142652742e+02,3.862290195042909602e+00
3.376033426965562701e+08,1.368462554756324039e+02,1.709252226642092012e+02,3.828652302721325285e+00
3.376033427980567813e+08,2.443702955878748995e+01,1.710300702474576440e+02,3.910897674511978117e+00
3.376033428000027537e+08,1.621091489432903598e+00,1.709060933507961977e+02,3.988489071344000436e+00
3.376033428101937175e+08,8.534892712687589267e+01,1.708969597762624346e+02,3.862682010107215014e+00
3.376033429348628521e+08,5.608790139023129839e+00,1.709839803549261603e+02,3.934560687784213862e+00
3.376033429558198452e+08,5.979282790473361864e+00,1.708729688134260982e+02,3.933692304563600306e+00
3.376033431586109996e+08,3.019596266002803731e+00,1.708923088054572474e+02,3.798577496712764567e+00
3.376033432050608397e+08,1.807740976982574743e+00,1.708852840483540945e+02,3.858213464686953031e+00
3.376033432187471986e+08,1.730798475408712678e+00,1.708983503138327364e+02,3.786141694197850516e+00
3.376033433091408014e+08,1.822621826012797985e+00,1.709000505098278779e+02,3.872298332478638194e+00
3.376033433254321814e+08,1.761409161779604160e+00,1.708529081662878468e+02,3.878654548688887260e+00
3.376033433827944994e+08,2.449843711696654491e+00,1.708720675786335903e+02,3.812047135119624119e+00
3.376033434831576347e+08,2.242052771255168331e+00,1.709369721942275930e+02,3.806791171108319105e+00
3.376033435994319320e+08,2.009519464308815895e+00,1.710433056828753422e+02,3.855519907894176423e+00
3.376033438526125550e+08,6.004388892150921642e+00,1.709534177864706805e+02,3.872601463328252169e+00
3.376033438662897348e+08,1.748148992520187628e+00,1.708876023862532065e+02,3.929201639784841493e+00
3.376033438970941901e+08,6.202225379761428847e+00,1.709456446249563726e+02,4.004154821285982102e+00
3.376033439042689800e+08,2.449435192121615756e+00,1.708282196074559920e+02,3.948752872171509054e+00
3.376033439241053462e+08,5.728306759386804892e+00,1.708859062122011778e+02,3.824891234114973670e+00
3.376033439612304568e+08,1.939726450452313733e+00,1.709992244704262703e+02,3.961977187913518161e+00
3.376033440318875313e+08,6.123361808013613405e+00,1.709641083560799473e+02,3.859681100208458115e+00
3.376033441317658424e+08,1.775032778745337936e+00,1.710389568574316854e+02,3.871250335330487236e+00
3.376033441476300955e+08,1.654979949812931395e+00,1.710402774686201894e+02,3.884011718585423267e+00
3.376033441765680909e+08,2.005373052892465591e+00,1.709177328105026845e+02,3.956247171988715561e+00
3.376033442118716836e+08,9.058448900335214660e+01,1.708750119262862484e+02,3.934881998458272356e+00
3.376033442330584526e+08,6.060131094803661078e+00,1.708320768950011939e+02,3.926895781407839792e+00
3.376033442828978896e+08,2.087226210883801780e+00,1.710143815442837081e+02,3.955741128617326297e+00
3.376033443280934691e+08,2.301002771088477949e+00,1.708454756610123866e+02,3.898524001946132245e+00
3.376033445099443197e+08,1.875945586637882689e+00,1.709690832014549642e+02,3.936632838482563734e+00
3.376033447143599391e+08,2.187864899886550418e+00,1.708950492683058826e+02,3.772532778932045971e+00
3.376033447279594541e+08,1.053353849246987863e+02,1.709600811135004221e+02,3.807883792026824032e+00
3.376033447306028008e+08,1.794369156694674228e+00,1.709221974340989618e+02,3.933561048798675408e+00
3.376033447501818538e+08,1.867767961355140116e+00,1.708746091605214588e+02,3.796319105130815608e+00
3.376033448096925616e+08,1.820231552962042532e+00,1.709087380380336469e+02,3.940604473223465298e+00
3.376033449034539461e+08,5.881498366614853701e+00,1.709181121801567258e+02,3.836672701059562485e+00
3.376033449271811247e+08,6.002525850285930886e+00,1.708567560000707886e+02,3.836909742640181697e+00
3.376033449375341535e+08,1.763309298092089916e+00,1.710101219059914968e+02,3.933022609629493793e+00
3.376033449895819426e+08,7.639359526728009087e+01,1.709988459919912600e+02,3.818665560720672314e+00
3.376033450860637426e+08,6.280603759163550848e+00,1.708558925791847685e+02,3.854375146614920755e+00
3.376033452226868272e+08,2.304667473093077845e+00,1.709232825025371199e+02,3.982471473347944269e+00
3.376033452612400055e+08,2.006332371550256788e+00,1.709611702295283635e+02,3.937289210178712029e+00
3.376033454601138234e+08,6.377903814360590928e+01,1.709262522387643344e+02,3.823912333994143875e+00
3.376033454838476777e+08,1.917416786726631184e+00,1.709184550009128998e+02,3.972632998283942118e+00
3.376033454962335825e+08,6.166342894435050681e+00,1.709558740233827905e+02,4.025227246324041275e+00
3.376033455743511319e+08,1.846351162400790225e+00,1.708711389080772278e+02,3.842178894394010946e+00
3.376033456708154082e+08,3.226295107933955908e+00,1.710525808585813650e+02,3.866699988582313896e+00
3.376033457022441030e+08,2.978721488314700849e+00,1.708921381928021219e+02,3.896663152118055695e+00
3.376033457091621757e+08,2.307266179602335932e+00,1.709311490113622369e+02,3.883657772787691087e+00
3.376033457212163210e+08,1.701777541911990266e+00,1.708032270189951589e+02,3.915199029498874328e+00
