# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033411753628254e+08,2.779255184547174018e+00,1.710459643594433885e+02,3.853287753459141207e+00
3.376033411986336112e+08,1.639345559579080458e+00,1.709226601186071548e+02,3.985189665329750497e+00
3.376033412238839865e+08,2.154982817305375775e+00,1.709145829683737929e+02,3.841310917160537741e+00
3.376033412441588044e+08,1.915378701085466595e+00,1.708203541112514188e+02,3.873408282620788956e+00
3.376033412471375465e+08,3.329678553760533788e+00,1.709272466308078151e+02,3.823148156985607393e+00
3.376033413337188363e+08,2.217696338587987093e+00,1.709755480827046767e+02,3.938651277956823904e+00
3.376033413350905776e+08,2.377622287042048921e+00,1.709627145337317984e+02,4.034844558055634245e+00
3.376033413721721768e+08,2.081687357074106348e+00,1.709965974053808679e+02,3.926770729875626920e+00
3.376033416873220205e+08,2.615550610472469728e+00,1.708247163914315365e+02,3.921614336801409806e+00
3.376033419134142399e+08,2.942913285714141569e+00,1.709682595443371440e+02,3.970032431566458797e+00
3.376033420144273043e+08,1.749886832585542562e+00,1.710285897183917427e+02,3.892735814553294205e+00
3.376033421178309917e+08,2.052502974485771237e+00,1.709330357236572979e+02,3.953177595670482436e+00
3.376033422904798388e+08,2.173875144581660646e+00,1.709679168511620162e+02,4.040356335192116788e+00
3.376033422933374643e+08,2.119108751720165884e+00,1.709243898611475743e+02,4.003227768763802707e+00
3.376033423069958687e+08,2.380014686873480834e+00,1.707863524241115840e+02,3.927594527078318354e+00
3.376033423748271465e+08,2.397828797308437121e+00,1.708683302378649671e+02,3.797740628644674654e+00
3.376033424138597846e+08,2.168287207184144805e+00,1.709041044332833792e+02,3.775846808186807291e+00
3.376033425371007919e+08,2.238255228263254182e+00,1.709745599745255049e+02,4.027926597437859968e+00
3.376033426256031394e+08,1.609538832521564045e+00,1.708541800270940030e+02,3.917038384148794794e+00
3.376033426935123205e+08,2.119318732883227696e+00,1.709262861579960600e+02,3.783695992446521217e+00
3.376033427241353393e+08,3.188436251863943749e+00,1.709698803612483005e+02,3.879764564563244367e+00
