# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033413332544565e+08,2.075480792567401256e+00,1.709427694888213409e+02,3.989809334173419320e+00
3.376033414942154884e+08,1.606104252712580394e+00,1.709245176478161738e+02,3.861053663998564645e+00
3.376033415101278424e+08,2.367590489006942800e+00,1.709319049820942666e+02,3.996297975070522757e+00
3.376033416561610103e+08,1.900332523905338356e+00,1.709458650659099419e+02,3.813941877111257650e+00
3.376033416601988673e+08,2.195489916241130324e+00,1.710577220746087903e+02,3.874767216331671982e+00
3.376033417756574154e+08,2.616801022010137867e+00,1.709844961660155889e+02,4.006831980394663262e+00
3.376033419534726739e+08,2.178509249753156851e+00,1.709010593904632458e+02,3.878902063714399162e+00
3.376033419615416527e+08,7.661254871562020696e+01,1.708370160420961383e+02,3.968842832863957337e+00
3.376033425264374018e+08,1.967198775546713074e+00,1.708625278864961388e+02,3.952678516399724007e+00
3.376033425348404050e+08,2.541636097441009667e+01,1.709087245837161788e+02,3.834013284381408315e+00
3.376033426068538427e+08,1.717739307064626519e+00,1.708777083372883681e+02,3.936593491521350963e+00
3.376033429525433779e+08,1.879310572698451143e+00,1.709746118974858007e+02,3.882271653088166463e+00
3.376033430646129251e+08,2.383725775067509822e+00,1.708572246075002568e+02,3.914686792553991879e+00
3.376033431249309778e+08,2.131070330023973725e+00,1.709816023115990902e+02,3.831375657672049684e+00
3.376033432753500938e+08,2.090793347171254979e+00,1.708644283698203310e+02,3.799660837558587634e+00
3.376033433002663851e+08,2.187304513310886378e+00,1.710234528377299625e+02,3.907819720520312679e+00
3.376033433910894990e+08,2.147883847702479976e+00,1.709875354507685188e+02,3.998160130826867498e+00
3.376033434479280114e+08,1.710066705341693805e+00,1.709847171358621836e+02,3.904959691729934068e+00
3.376033434727622867e+08,1.744322657681641964e+00,1.710029945418405077e+02,3.833809476873965227e+00
3.376033434767392278e+08,2.264690422849283014e+00,1.708107948789134696e+02,3.921622709633044934e+00
3.376033437363086343e+08,1.845669569090052420e+00,1.709968321790074697e+02,3.909512493837840275e+00
3.376033438902108669e+08,3.143877533671660895e+00,1.708742992561527956e+02,3.913472682510083178e+00
3.376033440287803411e+08,1.913005172540276355e+00,1.708521975273662008e+02,3.975845754441493352e+00
3.376033443320778608e+08,7.800638676046943054e+00,1.709706706856292158e+02,3.808436399448826393e+00
3.376033444337525964e+08,2.008038388565239973e+00,1.709717780670567322e+02,3.860280987874265435e+00
3.376033446854139566e+08,2.103917278624473308e+00,1.709096920990421893e+02,3.839867086883675729e+00
3.376033447952532768e+08,1.701493625087014738e+00,1.709469637408404026e+02,3.951355832233204080e+00
3.376033452567859292e+08,2.096680720525657904e+00,1.710034331513432448e+02,3.822367790635443630e+00
3.376033452806456089e+08,2.134097834546544004e+00,1.708871863964084525e+02,3.878184247211643232e+00
3.376033453688924313e+08,1.687463321221841284e+00,1.709497777954980506e+02,3.895408718608735388e+00
3.376033454386401772e+08,7.205899104998363214e+01,1.710401158375911734e+02,3.890544317065244062e+00
3.376033455565974712e+08,1.905380747465296176e+00,1.708293003304850970e+02,3.900008652258056152e+00
3.376033456029055119e+08,2.239336010088582185e+00,1.709050492094895333e+02,3.909736896251681415e+00
3.376033456774580479e+08,2.931899513925157574e+00,1.710114523868869014e+02,3.932318474171517586e+00
3.376033456820754409e+08,3.077202818522705741e+01,1.708831094155021333e+02,3.982656536898418587e+00
3.376033458158813715e+08,1.636758863971182976e+00,1.709690894655997511e+02,3.871635131162775245e+00
3.376033459716593623e+08,1.639809697575446146e+00,1.708441183010435509e+02,3.884379492621082619e+00
3.376033460479343534e+08,2.025993310936881731e+00,1.709390718408435248e+02,3.851918060333321403e+00
3.376033461013928652e+08,1.888063371425742210e+00,1.709437705137599721e+02,3.849906493865056234e+00
3.376033461266611814e+08,2.261018101929536783e+00,1.708909879401248020e+02,3.786438117487515687e+00
3.376033461324775219e+08,8.247703381421196411e+00,1.709980031164831473e+02,3.882372409972092875e+00
3.376033464106213450e+08,2.200873102864971287e+00,1.710336878630872377e+02,3.908653614640262841e+00
3.376033464255396724e+08,2.065516268294124824e+00,1.709670227419102844e+02,3.964802382694334604e+00
3.376033467740554214e+08,1.894528244101578052e+00,1.708823327834809618e+02,3.830439292000944462e+00
